date,quintile,ret_ew,ret_vw,avg_ivol,n_stocks
1996-09-30,1,0.022551027624309394,0.030951394323402815,0.02731365799476548,181
1996-09-30,2,0.029142916666666668,0.054457946502980185,0.048973445914245774,180
1996-09-30,3,0.03644834444444445,0.07328378768082086,0.07385156922159232,180
1996-09-30,4,0.026293050000000005,0.055308393416819875,0.1087450852526122,180
1996-09-30,5,0.030826160220994478,0.06997728601721542,0.21045912205811185,181
1996-10-31,1,0.011654807692307692,0.011006504297428155,0.03179265568771793,182
1996-10-31,2,0.01488703314917127,0.02287758228644035,0.053641901188847284,181
1996-10-31,3,-0.013610867403314918,-0.00965209324134518,0.07869728556395066,181
1996-10-31,4,-0.025715878453038674,-0.030077696331679057,0.11509766117095505,181
1996-10-31,5,-0.05959856906077348,-0.028785168814175612,0.2139681173221834,182
1996-11-29,1,,0.0,0.03179265568771793,182
1996-11-29,2,,0.0,0.053641901188847284,181
1996-11-29,3,,0.0,0.07869728556395066,181
1996-11-29,4,,0.0,0.11509766117095505,181
1996-11-29,5,,0.0,0.2139681173221834,182
1996-12-31,1,-0.00016847282608695532,-0.026461901708068093,0.034500064120153315,184
1996-12-31,2,-0.00195563387978142,-0.021651110592006688,0.0571662640727542,183
1996-12-31,3,0.0010368641304347836,0.013113760563634004,0.08245085760178336,184
1996-12-31,4,0.008039655737704921,-0.03747400051003576,0.11785885404512492,183
1996-12-31,5,-0.017956010989010986,0.007599516591771442,0.21431313977411018,184
1997-01-31,1,0.02317836216216216,0.04121147130324411,0.03330641278121809,185
1997-01-31,2,0.026898081967213112,0.050339605043496535,0.0570515011352158,184
1997-01-31,3,0.03706071891891892,0.009051009445853657,0.08198128076777994,185
1997-01-31,4,0.04627196195652173,0.004204727044551518,0.11926770273517745,184
1997-01-31,5,0.12611736956521738,0.18164362957640068,0.2169136869352292,185
1997-02-28,1,0.01407697894736842,0.015874721420847237,0.035801997448871865,190
1997-02-28,2,0.0030828244680851068,0.03469735236771225,0.05918999114021921,189
1997-02-28,3,-0.00939992631578947,0.005847532034819376,0.0856564233166326,190
1997-02-28,4,-0.05645949468085107,-0.022757214766141474,0.12176094839125258,189
1997-02-28,5,-0.04575856914893617,-0.17320805446137888,0.21859626972525661,190
1997-03-31,1,-0.02157501554404145,-0.03929070414717591,0.035409440885350266,193
1997-03-31,2,-0.035400109375,-0.04450515064676068,0.05908358631099988,192
1997-03-31,3,-0.042764536458333335,-0.017024940603736195,0.08508092507753838,192
1997-03-31,4,-0.049639403141361255,-0.022462856488107353,0.12138155648823541,192
1997-03-31,5,-0.05586883246073299,-0.03994277978623727,0.21799803646084062,193
1997-04-30,1,0.005579634020618558,0.0447138991558671,0.03645799758844021,194
1997-04-30,2,-0.0025318762886597937,0.027433587784912866,0.0587061415578956,194
1997-04-30,3,-0.013305350515463917,0.032283006830336684,0.08395541522121464,194
1997-04-30,4,-0.04434067010309278,0.04209733315058222,0.12021873901056525,194
1997-04-30,5,-0.04603665284974094,-0.07316675158690139,0.21748645339528827,194
1997-05-30,1,,0.0,0.03645799758844021,194
1997-05-30,2,,0.0,0.0587061415578956,194
1997-05-30,3,,0.0,0.08388259875670002,193
1997-05-30,4,,0.0,0.11996493621101978,194
1997-05-30,5,,0.0,0.21723813499182362,194
1997-06-30,1,0.0307586192893401,0.0458570645863865,0.03761613452736074,198
1997-06-30,2,0.0480166111111111,0.04542155193510587,0.06046559135296091,198
1997-06-30,3,0.041755954545454554,0.0509427413241717,0.08349512656362297,198
1997-06-30,4,0.04796710606060606,0.06175430513659404,0.11755191510983214,198
1997-06-30,5,0.07395899489795918,0.058114597914842005,0.21077152094920998,198
1997-07-31,1,0.04294251256281407,0.07326785306658905,0.037707742142892804,199
1997-07-31,2,0.05085102512562815,0.07355256862455714,0.06217956655272002,199
1997-07-31,3,0.05619125757575758,0.08420071268806045,0.085824073806724,198
1997-07-31,4,0.04521594974874372,0.11415382926696033,0.1193666080723508,199
1997-07-31,5,0.05427878894472361,0.09476776277893624,0.2134228224884927,199
1997-08-29,1,,0.0,0.037707742142892804,199
1997-08-29,2,,0.0,0.06217956655272002,199
1997-08-29,3,,0.0,0.085824073806724,198
1997-08-29,4,,0.0,0.1193666080723508,199
1997-08-29,5,,0.0,0.2134228224884927,199
1997-09-30,1,0.04641849000000001,0.05390728655107284,0.04003618641667197,200
1997-09-30,2,0.055447628140703524,0.032329636388613685,0.06442127044429681,199
1997-09-30,3,0.06840994,0.07447367706441402,0.08949886276268104,200
1997-09-30,4,0.08861875376884422,0.04993747166811218,0.12556898523340923,199
1997-09-30,5,0.16627127777777775,0.17642273352446403,0.22051155322107996,200
1997-10-31,1,-0.0187475223880597,-0.0248050617936512,0.03931026390916385,201
1997-10-31,2,-0.035127485,-0.036969256204631755,0.06476685566544474,200
1997-10-31,3,-0.02778143,0.007845818980381563,0.08903129621918517,200
1997-10-31,4,-0.033712245,-0.03370342599441724,0.12529044012379786,200
1997-10-31,5,-0.018492695000000003,-0.10899653996174351,0.22213946636786516,201
1997-11-28,1,,0.0,0.03931026390916385,201
1997-11-28,2,,0.0,0.06476685566544474,200
1997-11-28,3,,0.0,0.08903129621918517,200
1997-11-28,4,,0.0,0.12529044012379786,200
1997-11-28,5,,0.0,0.22203025806213045,200
1997-12-31,1,0.030896765,0.039408704135703375,0.04164302209309718,201
